layer,expert,total_mass,selectivity,top_category,share_computational,share_creative,share_factual,share_reasoning,share_social_ethical,share_symbolic
1,114,1595.1033935546875,0.36909565230567454,symbolic,0.05496167585017227,0.04795276866221217,0.19981033263190182,0.19346974578190226,0.13470982476813692,0.36909565230567454
1,115,1909.361328125,0.3243741899747645,factual,0.04280443139425098,0.04721200438219177,0.3243741899747645,0.20037703573982218,0.13361529286727708,0.2516170456416934
1,116,1910.4298095703125,0.28119490300500805,symbolic,0.14839822594425223,0.037248627672890146,0.2433491599266746,0.20177606210664742,0.08803302134452753,0.28119490300500805
1,117,2175.9453735351562,0.289902391507777,symbolic,0.15090019718833483,0.04093177554015857,0.20104405275308984,0.23082628220733686,0.08639530080330285,0.289902391507777
1,118,1521.5738525390625,0.3108892906089525,reasoning,0.09625509026146008,0.050448734040271864,0.22961149669230782,0.3108892906089525,0.08558819511015599,0.2272071932868518
1,119,1591.0094604492188,0.26535196724422616,reasoning,0.0907510268020235,0.038656161930408904,0.25925873070877586,0.26535196724422616,0.11334801774451388,0.23263409557005174
1,120,1938.9127807617188,0.276906578988664,symbolic,0.12906000025749872,0.046549474524734624,0.25146875795928414,0.22383225034341295,0.07218293792640554,0.276906578988664
1,121,1456.2061767578125,0.2661587606453755,factual,0.10618219549760123,0.053504829016364074,0.2661587606453755,0.1627357515872133,0.2057855985975973,0.2056328646558486
1,122,2350.7213134765625,0.3286797618479492,symbolic,0.08880289351844038,0.04911277180806319,0.19341729851557676,0.22739327071368812,0.11259400359628229,0.3286797618479492
1,123,2003.4912719726562,0.31150840477717107,symbolic,0.13387104621232937,0.030988294633748015,0.19526119581110868,0.2289133888319526,0.09945766973369029,0.31150840477717107
1,124,2052.782470703125,0.29924738918462546,symbolic,0.142724177371201,0.03969822543406155,0.2014708979820525,0.22222998581027537,0.09462932421778414,0.29924738918462546
1,125,1254.5797119140625,0.41480262207301627,symbolic,0.1338157844934725,0.028819509615016933,0.16888262018929281,0.18586026177334466,0.06781920185585681,0.41480262207301627
1,126,1669.5018310546875,0.2502071610263956,symbolic,0.07993545744949443,0.06146399836391595,0.22312015763614224,0.2416141370062455,0.14365908851780626,0.2502071610263956
1,127,1809.57177734375,0.46306715078212296,reasoning,0.061472292386163745,0.030930223208130162,0.1411102473473443,0.46306715078212296,0.09216061077122711,0.21125947550501173
3,0,1775.5882568359375,0.3432914061615391,symbolic,0.07452223243300955,0.04747560072898926,0.24555702992083045,0.19384702706705023,0.09530670368858142,0.3432914061615391
3,1,1802.335693359375,0.2770617472688638,factual,0.07043797741293545,0.05060653310787719,0.2770617472688638,0.19359109347990963,0.16133917482021687,0.2469634739101971
3,2,1855.3885498046875,0.29800715728304833,symbolic,0.10857692993703741,0.060875657585989076,0.22494860468639993,0.23414854181526135,0.07344310869226386,0.29800715728304833
